"Passenger journeys on local bus services by local authority [note 5]: England, from year ending March 2010 [r] [note 6]",,,,,,,,,,,,,,,,,,
Passenger journeys (millions),,,,,,,,,,,,,,,,,,
Local Authority (LA) Code,LA or Region,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,Notes
E12000001,North East,207.2,205.6,198.6,190.4,188.3,184.9,180.6,177.0,169.0,171.6,159.8,61.2,113.0,130.2,130.3,139.2,[z]
E06000005,Darlington,8.2,7.9,7.0,6.6,6.6,6.5,6.2,6.3,6.0,5.7,5.5,1.7,3.6,4.3,4.1,4.1,[r] [note 7]
E06000047,Durham,26.3,25.9,24.7,23.1,23.2,22.8,22.1,21.9,21.7,22.1,20.8,8.7,17.6,17.3,17.2,17.7,[r] [note 7]
E06000001,Hartlepool,5.4,5.3,4.8,4.6,4.6,4.7,4.7,4.4,4.3,4.4,4.0,1.6,2.8,3.5,3.6,3.5,[z]
E06000002,Middlesbrough,10.2,10.4,9.8,9.1,9.0,8.4,9.1,8.4,7.3,7.4,6.8,2.5,4.8,5.9,6.6,6.5,[z]
E06000057,Northumberland,11.2,11.3,10.6,9.9,10.0,9.7,9.0,8.6,8.2,8.2,8.0,2.8,5.8,6.7,7.5,7.8,[r] [note 7]
E06000003,Redcar and Cleveland,5.7,5.5,4.7,4.3,4.3,4.1,3.9,3.9,3.8,3.6,3.4,1.2,2.4,2.9,2.9,2.9,[r] [note 7]
E06000004,Stockton-on-Tees,10.2,10.0,9.5,9.2,8.8,8.7,8.5,8.3,8.2,8.2,7.5,2.9,5.0,6.1,6.2,6.3,[z]
E11000007,Tyne and Wear CA,129.9,129.3,127.6,123.5,121.8,120.1,116.9,115.1,109.5,112.0,104.0,39.7,71.0,83.5,82.3,90.5,[z]
E12000002,North West,463.9,457.0,439.2,434.2,433.8,426.5,414.5,408.6,389.8,384.7,368.8,143.2,256.0,298.6,324.5,339.4,[z]
E06000008,Blackburn with Darwen,4.9,4.9,4.8,4.1,4.2,4.0,4.7,4.2,4.1,3.7,3.7,1.8,3.0,3.7,4.1,4.1,[r] [note 7]
E06000009,Blackpool,12.8,11.8,11.7,11.2,11.1,11.1,11.2,10.2,9.4,8.8,8.4,3.0,5.8,6.9,7.3,6.7,[z]
E06000049,Cheshire East,5.5,5.6,5.3,6.1,5.7,5.2,4.9,4.9,4.4,4.1,4.1,1.0,2.2,2.8,2.8,2.9,[z]
E06000050,Cheshire West and Chester,11.3,11.6,10.7,10.0,11.1,11.2,11.0,10.4,9.4,9.4,9.1,3.1,5.6,6.3,7.2,7.1,[z]
E10000006,Cumbria,17.7,18.4,17.7,17.1,16.7,16.0,15.4,14.9,14.0,13.8,13.0,4.9,9.4,10.8,11.6,12.1,[z]
E06000006,Halton,6.1,6.1,5.8,5.4,5.3,5.3,5.9,5.6,5.3,5.4,5.6,2.0,3.3,3.4,4.0,4.1,[z]
E10000017,Lancashire,61.3,59.7,57.0,53.2,51.6,50.1,47.3,45.1,41.5,42.1,40.7,15.9,29.4,35.5,39.4,36.7,[z]
E06000007,Warrington,10.8,11.1,10.5,9.8,8.9,7.9,7.1,6.8,6.1,5.6,5.5,1.8,3.5,4.3,4.8,5.2,[z]
E11000001,Greater Manchester CA,220.8,216.9,205.9,208.5,216.0,213.0,205.4,201.2,194.7,189.7,177.9,68.8,121.5,143.2,154.5,171.0,[z]
