year,LADNM,cell_count,overall,bus,rail,metro,locallink
2016,Bolton,13975,5.502,4.118,0.374,0.0,1.01
2016,Bury,9955,5.385,4.186,0.0,0.473,0.726
2016,Manchester,11567,16.423,11.884,1.202,1.696,1.642
2016,Oldham,14246,4.296,3.262,0.046,0.433,0.554
2016,Rochdale,15794,3.789,2.641,0.124,0.163,0.861
2016,Salford,9716,7.355,6.018,0.435,0.332,0.57
2016,Stockport,12602,5.92,4.814,0.745,0.023,0.338
2016,Tameside,10312,5.529,4.442,0.505,0.242,0.34
2016,Trafford,10600,6.335,4.881,0.233,0.83,0.391
2016,Wigan,18815,4.232,3.878,0.196,0.0,0.158
2026,Bolton,13975,3.904,3.328,0.575,0.0,0.0
2026,Bury,9955,3.543,3.014,0.006,0.464,0.059
2026,Manchester,11567,13.586,8.683,1.679,1.834,1.389
2026,Oldham,14246,3.441,2.478,0.091,0.371,0.501
2026,Rochdale,15794,3.144,2.215,0.287,0.163,0.479
2026,Salford,9716,6.219,5.058,0.757,0.404,0.0
2026,Stockport,12602,4.87,3.474,1.207,0.028,0.16
2026,Tameside,10312,4.452,3.376,0.674,0.24,0.162
2026,Trafford,10600,5.173,3.352,0.344,1.047,0.429
2026,Wigan,18815,3.513,3.048,0.465,0.0,0.0
