year,area,journeys
2010,Greater Manchester,220.8
2011,Greater Manchester,216.9
2012,Greater Manchester,205.9
2013,Greater Manchester,208.5
2014,Greater Manchester,216
2015,Greater Manchester,213
2016,Greater Manchester,205.4
2017,Greater Manchester,201.2
2018,Greater Manchester,194.7
2019,Greater Manchester,189.7
2020,Greater Manchester,177.9
2021,Greater Manchester,68.8
2022,Greater Manchester,121.5
2023,Greater Manchester,143.2
2024,Greater Manchester,154.5
2025,Greater Manchester,171
2010,Merseyside,112.7
2011,Merseyside,110.8
2012,Merseyside,109.7
2013,Merseyside,108.8
2014,Merseyside,103.2
2015,Merseyside,102.7
2016,Merseyside,101.6
2017,Merseyside,105.1
2018,Merseyside,101
2019,Merseyside,102.2
2020,Merseyside,100.8
2021,Merseyside,40.8
2022,Merseyside,72.3
2023,Merseyside,81.7
2024,Merseyside,88.7
2025,Merseyside,89.4
2010,South Yorkshire,115.8
2011,South Yorkshire,112.7
2012,South Yorkshire,111.9
2013,South Yorkshire,106.4
2014,South Yorkshire,108.4
2015,South Yorkshire,108.4
2016,South Yorkshire,105
2017,South Yorkshire,100.5
2018,South Yorkshire,95.8
2019,South Yorkshire,91.7
2020,South Yorkshire,80.9
2021,South Yorkshire,29.5
2022,South Yorkshire,53.4
2023,South Yorkshire,61.6
2024,South Yorkshire,63.1
2025,South Yorkshire,62.5
2010,West Yorkshire,169.2
2011,West Yorkshire,168.6
2012,West Yorkshire,167.7
2013,West Yorkshire,154.2
2014,West Yorkshire,161.8
2015,West Yorkshire,156.6
2016,West Yorkshire,152.5
2017,West Yorkshire,150.4
2018,West Yorkshire,148.3
2019,West Yorkshire,143.8
2020,West Yorkshire,133.3
2021,West Yorkshire,50.3
2022,West Yorkshire,92.7
2023,West Yorkshire,108.4
2024,West Yorkshire,117.7
2025,West Yorkshire,116.6
2010,West Midlands,313.8
2011,West Midlands,294.2
2012,West Midlands,281.1
2013,West Midlands,275.4
2014,West Midlands,279.1
2015,West Midlands,274.5
2016,West Midlands,266.5
2017,West Midlands,263.8
2018,West Midlands,259.2
2019,West Midlands,264.9
2020,West Midlands,249.1
2021,West Midlands,100.4
2022,West Midlands,175.4
2023,West Midlands,211.4
2024,West Midlands,235.1
2025,West Midlands,246.5
