lsoa21cd,mean_delay,vehicle_count
E01005113,8.45,4
E01005114,8.84,3
E01005114,7.78,4
E01005113,11.26,2
E01005111,7.63,4
E01005116,7.95,4
E01005113,9.22,1
E01005111,8.5,1
E01005114,8.71,1
E01006089,9.88,3
E01006152,7.43,2
E01006160,9.74,3
E01006150,9.65,3
E01006147,9.38,3
E01006147,5.72,3
E01006150,4.99,3
E01006160,9.54,3
E01006091,5.77,3
E01006097,8.41,1
E01006160,4.97,4
E01006091,9.7,4
E01006089,9.2,3
E01006204,8.63,4
E01006204,8.28,3
E01006080,1.78,3
E01006078,9.05,3
E01006080,0.59,2
E01006080,8.09,3
E01006080,0.56,1
E01006160,5.94,3
E01006204,8.25,3
E01006204,8.43,4
E01006164,6.76,4
E01006161,5.78,2
E01006160,5.62,3
E01006204,8,3
E01006204,8.12,4
E01006097,14.27,2
E01006097,8.25,4
E01006097,8.26,4
E01006097,7.83,4
E01006097,14.66,2
E01006097,15.14,2
E01006098,14.66,2
E01006099,11.39,3
E01006174,11.03,3
E01006160,5.26,2
E01006160,4.57,2
E01006160,9.45,3
E01006160,5.45,4
E01006161,4.67,4
E01006178,10.55,3
E01006174,6.6,4
E01006174,7.17,4
E01006099,6.78,4
E01006098,7.24,4
E01006097,6.75,4
E01006097,7.23,4
E01006161,5.1,2
E01006161,6.58,4
E01006091,5.51,3
E01006091,4.97,3
E01006091,8.58,4
E01006089,4.43,3
E01006089,4.68,3
E01006096,10.56,4
E01006089,9.47,3
E01006190,8.46,4
E01006190,8.1,4
E01006195,7.62,4
E01006096,8.98,4
E01006090,6.8,3
E01006096,6.37,3
E01006093,7.14,3
E01006190,7.07,3
E01006190,7.2,3
E01006210,7.79,1
E01006097,7.73,1
E01006097,8.39,1
E01005114,7.27,4
E01006148,9.18,3
E01006152,3.13,2
E01006152,7.77,3
E01006152,6.27,3
E01006096,10.89,4
E01006096,5.42,3
E01006089,5.3,3
E01006152,4.41,3
E01006148,5.82,3
E01005840,-0.78,1
E01005807,-0.72,1
E01005807,-0.3,1
E01005807,0.16,1
E01005815,-0.34,1
E01005838,-0.68,1
E01005797,-6.19,1
